n,k,output,accuracy,f1score
21,1,oxidizer,0.9384615384615385,0.9166666666666666
21,1,compressed_gas,0.9538461538461539,0.9318181818181818
21,1,explosive,0.9692307692307692,0.9428571428571428
21,2,oxidizer,0.9769230769230769,0.9620253164556962
21,2,compressed_gas,0.9461538461538461,0.9213483146067416
21,2,explosive,0.9538461538461539,0.9302325581395349
21,3,oxidizer,0.9769230769230769,0.9629629629629629
21,3,compressed_gas,0.9615384615384616,0.9411764705882353
21,3,explosive,0.9846153846153847,0.9787234042553191
22,1,oxidizer,0.9615384615384616,0.9411764705882353
22,1,compressed_gas,0.9384615384615385,0.9090909090909091
22,1,explosive,0.9538461538461539,0.9285714285714286
22,2,oxidizer,0.9615384615384616,0.9382716049382716
22,2,compressed_gas,0.9461538461538461,0.9230769230769231
22,2,explosive,0.9846153846153847,0.9767441860465116
22,3,oxidizer,0.9615384615384616,0.945054945054945
22,3,compressed_gas,0.9384615384615385,0.9047619047619048
22,3,explosive,0.9692307692307692,0.9523809523809523
23,1,oxidizer,0.9153846153846154,0.8493150684931506
23,1,compressed_gas,0.9076923076923077,0.8888888888888888
23,1,explosive,0.9769230769230769,0.9629629629629629
23,2,oxidizer,0.9615384615384616,0.9438202247191011
23,2,compressed_gas,0.9076923076923077,0.8333333333333334
23,2,explosive,0.9692307692307692,0.96
23,3,oxidizer,0.9461538461538461,0.9247311827956989
23,3,compressed_gas,0.9461538461538461,0.9230769230769231
23,3,explosive,0.9769230769230769,0.958904109589041
24,1,oxidizer,0.9538461538461539,0.9375
24,1,compressed_gas,0.9384615384615385,0.9047619047619048
24,1,explosive,0.9692307692307692,0.9512195121951219
24,2,oxidizer,0.9692307692307692,0.9487179487179487
24,2,compressed_gas,0.9538461538461539,0.9302325581395349
24,2,explosive,0.9615384615384616,0.9438202247191011
24,3,oxidizer,0.9384615384615385,0.9024390243902439
24,3,compressed_gas,0.9384615384615385,0.9166666666666666
24,3,explosive,0.9923076923076923,0.9876543209876543
25,1,oxidizer,0.9461538461538461,0.9230769230769231
25,1,compressed_gas,0.9461538461538461,0.9263157894736842
25,1,explosive,0.9461538461538461,0.9041095890410958
25,2,oxidizer,0.9153846153846154,0.8705882352941177
25,2,compressed_gas,0.9230769230769231,0.875
25,2,explosive,0.9846153846153847,0.9787234042553191
25,3,oxidizer,0.9538461538461539,0.926829268292683
25,3,compressed_gas,0.9538461538461539,0.9347826086956522
25,3,explosive,0.9769230769230769,0.9647058823529412
26,1,oxidizer,0.9846153846153847,0.9714285714285714
26,1,compressed_gas,0.9846153846153847,0.9795918367346939
26,1,explosive,0.9846153846153847,0.9782608695652174
26,2,oxidizer,0.9307692307692308,0.918918918918919
26,2,compressed_gas,0.9307692307692308,0.8860759493670886
26,2,explosive,0.9769230769230769,0.958904109589041
26,3,oxidizer,0.9153846153846154,0.8493150684931506
26,3,compressed_gas,0.9076923076923077,0.8695652173913043
26,3,explosive,0.9538461538461539,0.9333333333333333
27,1,oxidizer,0.9384615384615385,0.9069767441860465
27,1,compressed_gas,0.9230769230769231,0.8780487804878049
27,1,explosive,0.9923076923076923,0.989010989010989
27,2,oxidizer,0.9307692307692308,0.896551724137931
27,2,compressed_gas,0.9307692307692308,0.8888888888888888
27,2,explosive,0.9769230769230769,0.9647058823529412
27,3,oxidizer,0.9538461538461539,0.925
27,3,compressed_gas,0.9230769230769231,0.9
27,3,explosive,0.9538461538461539,0.9230769230769231
28,1,oxidizer,0.9384615384615385,0.9148936170212766
28,1,compressed_gas,0.9153846153846154,0.8705882352941177
28,1,explosive,0.9692307692307692,0.95
28,2,oxidizer,0.9307692307692308,0.8860759493670886
28,2,compressed_gas,0.9230769230769231,0.8888888888888888
28,2,explosive,0.9692307692307692,0.9565217391304348
28,3,oxidizer,0.9615384615384616,0.9397590361445783
28,3,compressed_gas,0.9076923076923077,0.8695652173913043
28,3,explosive,0.9538461538461539,0.926829268292683
29,1,oxidizer,0.9846153846153847,0.9714285714285714
29,1,compressed_gas,0.9692307692307692,0.9555555555555556
29,1,explosive,0.9461538461538461,0.9263157894736842
29,2,oxidizer,0.9384615384615385,0.9069767441860465
29,2,compressed_gas,0.9307692307692308,0.896551724137931
29,2,explosive,0.9769230769230769,0.9647058823529412
29,3,oxidizer,0.9461538461538461,0.9306930693069307
29,3,compressed_gas,0.9615384615384616,0.9425287356321839
29,3,explosive,0.9846153846153847,0.972972972972973
30,1,oxidizer,0.9384615384615385,0.8823529411764706
30,1,compressed_gas,0.9076923076923077,0.875
30,1,explosive,0.9692307692307692,0.9574468085106383
30,2,oxidizer,0.9,0.865979381443299
30,2,compressed_gas,0.9692307692307692,0.9444444444444444
30,2,explosive,0.9692307692307692,0.9512195121951219
30,3,oxidizer,0.9461538461538461,0.9156626506024096
30,3,compressed_gas,0.9538461538461539,0.9375
30,3,explosive,0.9615384615384616,0.935064935064935
31,1,oxidizer,0.9230769230769231,0.8913043478260869
31,1,compressed_gas,0.9230769230769231,0.8863636363636364
31,1,explosive,0.9538461538461539,0.918918918918919
31,2,oxidizer,0.9615384615384616,0.9367088607594937
31,2,compressed_gas,0.9461538461538461,0.9230769230769231
31,2,explosive,0.9615384615384616,0.9438202247191011
31,3,oxidizer,0.9615384615384616,0.9397590361445783
31,3,compressed_gas,0.9384615384615385,0.9069767441860465
31,3,explosive,0.9692307692307692,0.9555555555555556
32,1,oxidizer,0.9461538461538461,0.9135802469135802
32,1,compressed_gas,0.9384615384615385,0.9111111111111111
32,1,explosive,0.9923076923076923,0.9885057471264368
32,2,oxidizer,0.9846153846153847,0.9761904761904762
32,2,compressed_gas,0.9538461538461539,0.9347826086956522
32,2,explosive,0.9230769230769231,0.875
32,3,oxidizer,0.9538461538461539,0.9318181818181818
32,3,compressed_gas,0.9384615384615385,0.9069767441860465
32,3,explosive,0.9923076923076923,0.9882352941176471
33,1,oxidizer,0.9153846153846154,0.8817204301075269
33,1,compressed_gas,0.9153846153846154,0.8735632183908046
33,1,explosive,0.9615384615384616,0.9333333333333333
33,2,oxidizer,0.9692307692307692,0.9512195121951219
33,2,compressed_gas,0.9230769230769231,0.8837209302325582
