n,k,output,accuracy,f1score
14,3,corrosive,0.9970935683480218,0.9925961308812993
14,3,environmental_hazard,0.9988749296831052,0.9971711456859972
14,3,acute_toxic,1.0,1.0
14,3,health_hazard,1.0,1.0
14,3,flammable,0.9979373710856928,0.9947494033412888
15,1,corrosive,0.9972813349582825,0.9932068400093699
15,1,environmental_hazard,0.9978438173807068,0.9945536348567369
15,1,acute_toxic,1.0,1.0
15,1,health_hazard,1.0,1.0
15,1,flammable,0.9956876347614138,0.9891764705882353
15,2,corrosive,0.996250117183838,0.9904168663152851
15,2,environmental_hazard,0.9987812880847473,0.9969647443380808
15,2,acute_toxic,1.0,1.0
15,2,health_hazard,1.0,1.0
15,2,flammable,0.998218805662323,0.9955555555555555
15,3,corrosive,0.9963435214700919,0.9908429208734445
15,3,environmental_hazard,0.998781173823364,0.9969447708578143
15,3,acute_toxic,1.0,1.0
15,3,health_hazard,1.0,1.0
15,3,flammable,0.995968498031127,0.9897399188737771
16,1,corrosive,0.9954063935502016,0.9883582798764552
16,1,environmental_hazard,0.9989687822255554,0.9974542929877344
16,1,acute_toxic,1.0,1.0
16,1,health_hazard,1.0,1.0
16,1,flammable,0.9972813349582825,0.9930704898446834
16,2,corrosive,0.9968125996062623,0.9919278252611586
16,2,environmental_hazard,0.9985000468735352,0.9962546816479401
16,2,acute_toxic,1.0,1.0
16,2,health_hazard,1.0,1.0
16,2,flammable,0.9976563232398987,0.9940856399337592
16,3,corrosive,0.9975623476467279,0.9939252336448599
16,3,environmental_hazard,0.9991561972623288,0.9978463747307968
16,3,acute_toxic,1.0,1.0
16,3,health_hazard,1.0,1.0
16,3,flammable,0.9973748359272454,0.9935275080906149
17,1,corrosive,0.9976563232398987,0.994127319708715
17,1,environmental_hazard,0.9990625292959595,0.9976213130352045
17,1,acute_toxic,1.0,1.0
17,1,health_hazard,1.0,1.0
17,1,flammable,0.9966251054654542,0.9915730337078652
17,2,corrosive,0.9970000937470704,0.9924385633270322
17,2,environmental_hazard,0.9996250117183838,0.9990796134376438
17,2,acute_toxic,1.0,1.0
17,2,health_hazard,1.0,1.0
17,2,flammable,0.9976563232398987,0.9939157945972256
17,3,corrosive,0.9966247890493156,0.9914732354334439
17,3,environmental_hazard,0.9991561972623288,0.9978728432994564
17,3,acute_toxic,1.0,1.0
17,3,health_hazard,1.0,1.0
17,3,flammable,0.9969998124882805,0.992619926199262
18,1,corrosive,0.9959688759726258,0.9898417198204583
18,1,environmental_hazard,0.9980313115215149,0.9950506716945557
18,1,acute_toxic,1.0,1.0
18,1,health_hazard,1.0,1.0
18,1,flammable,0.9967188525358582,0.9918585717608747
18,2,corrosive,0.9970938408174744,0.9925677295612563
18,2,environmental_hazard,0.9990625292959595,0.997716894977169
18,2,acute_toxic,1.0,1.0
18,2,health_hazard,1.0,1.0
18,2,flammable,0.9970938408174744,0.992581957406078
18,3,corrosive,0.9967185449090569,0.9918433931484503
18,3,environmental_hazard,0.9995312207012939,0.9987925621830476
18,3,acute_toxic,1.0,1.0
18,3,health_hazard,1.0,1.0
18,3,flammable,0.9976561035064692,0.9941134918766188
19,1,corrosive,0.9970000937470704,0.992467043314501
19,1,environmental_hazard,0.9996250117183838,0.9990723562152134
19,1,acute_toxic,1.0,1.0
19,1,health_hazard,1.0,1.0
19,1,flammable,0.9985000468735352,0.9961704164672092
19,2,corrosive,0.9961563701134339,0.9901513331731924
19,2,environmental_hazard,0.9989687822255554,0.9973462002412545
19,2,acute_toxic,1.0,1.0
19,2,health_hazard,1.0,1.0
19,2,flammable,0.9965313583950501,0.9914922970797885
19,3,corrosive,0.996812300768798,0.9920671955202987
19,3,environmental_hazard,0.9978436152259517,0.99465737514518
19,3,acute_toxic,1.0,1.0
19,3,health_hazard,1.0,1.0
19,3,flammable,0.9976561035064692,0.9940744252192463
20,1,corrosive,0.996250117183838,0.9905168326220958
20,1,environmental_hazard,0.9985937939439392,0.9964071856287425
20,1,acute_toxic,1.0,1.0
20,1,health_hazard,1.0,1.0
20,1,flammable,0.9964376113246461,0.9912883998165979
