k,n,output,accuracy,f1score
3,8,Health Hazard,0.9570244328097731,0.5525500722692546
3,8,Irritant,0.7652705061082025,0.8394770390864459
3,8,Oxidizer,0.9988695859114707,0.3870967741935484
3,8,nan,0.8335911470728224,0.49393884566672697
1,9,Acute Toxic,0.9584928111056024,0.5870980469520616
1,9,Compressed Gas,0.9992464055528012,0.6274509803921569
1,9,Corrosive,0.9616460089241448,0.8441830486625846
1,9,Environmental Hazard,0.9419732275656916,0.38060965283657916
1,9,Explosive,0.9992265741199802,0.04878048780487805
1,9,Flammable,0.97300941993059,0.6266117969821674
1,9,Health Hazard,0.9569657907783837,0.5501658374792703
1,9,Irritant,0.7707882994546356,0.8434723726977248
1,9,Oxidizer,0.9987902825979177,0.3838383838383838
1,9,nan,0.8380763510163609,0.506974216532818
2,9,Acute Toxic,0.9590869427256862,0.6069727567155648
2,9,Compressed Gas,0.9990282405203871,0.4731182795698925
2,9,Corrosive,0.9616650801205775,0.8447015345063067
2,9,Environmental Hazard,0.9456409646200222,0.417923125929072
2,9,Explosive,0.9991075678248453,0.0425531914893617
2,9,Flammable,0.9734253530065048,0.6246498599439776
2,9,Health Hazard,0.9566079644613676,0.5565464126469396
2,9,Irritant,0.7682056163731557,0.8414584520224627
2,9,Oxidizer,0.998770426780898,0.2619047619047619
2,9,nan,0.8357528161193083,0.4995770392749245
3,9,Acute Toxic,0.9594240837696335,0.6039488966318235
3,9,Compressed Gas,0.9991868951293035,0.616822429906542
3,9,Corrosive,0.9609511343804538,0.8400617334091462
3,9,Environmental Hazard,0.9440940821830874,0.4031336015244548
3,9,Explosive,0.9990282405203871,0.0392156862745098
